0:l[784, 100]_r[784, 50]_t100:0.717, 0.781, 0.76, 0.807, 0.786, 0.761, 0.802, 0.796, 0.769, 0.803, 0.798, 0.781, 0.793, 0.808, 0.802, 0.785, 0.816, 0.823, 0.779, 0.817, 0.801, 0.769, 0.807, 0.794, 0.778, 0.806, 0.808, 0.767, 0.8, 0.803, 0.768, 
0:l[784, 250]_r[784, 50]_t100:0.739, 0.819, 0.804, 0.841, 0.82, 0.803, 0.853, 0.828, 0.808, 0.844, 0.821, 0.815, 0.848, 0.844, 0.825, 0.849, 0.841, 0.839, 0.856, 0.852, 0.84, 0.851, 0.862, 0.853, 0.844, 0.848, 0.854, 0.848, 0.854, 0.859, 0.846, 
0:l[784, 500]_r[784, 50]_t100:0.782, 0.856, 0.84, 0.81, 0.858, 0.849, 0.81, 0.835, 0.838, 0.788, 0.821, 0.824, 0.776, 0.813, 0.809, 0.765, 0.802, 0.802, 0.759, 0.791, 0.801, 0.747, 0.794, 0.797, 0.74, 0.79, 0.791, 0.753, 0.799, 0.796, 0.745, 
0:l[784, 100]_r[784, 50]_t250:0.764, 0.797, 0.788, 0.75, 0.773, 0.775, 0.717, 0.734, 0.749, 0.688, 0.71, 0.728, 0.679, 0.698, 0.702, 0.653, 0.683, 0.682, 0.666, 0.68, 0.683, 0.659, 0.681, 0.689, 0.671, 0.687, 0.679, 0.665, 0.677, 0.697, 0.671, 
0:l[784, 250]_r[784, 50]_t250:0.78, 0.841, 0.837, 0.844, 0.863, 0.852, 0.847, 0.853, 0.846, 0.819, 0.825, 0.83, 0.797, 0.807, 0.813, 0.786, 0.812, 0.803, 0.774, 0.807, 0.811, 0.786, 0.798, 0.789, 0.774, 0.79, 0.802, 0.779, 0.798, 0.79, 0.777, 
0:l[784, 500]_r[784, 50]_t250:0.797, 0.858, 0.852, 0.826, 0.846, 0.829, 0.799, 0.789, 0.803, 0.77, 0.774, 0.771, 0.739, 0.766, 0.759, 0.723, 0.748, 0.755, 0.729, 0.757, 0.759, 0.726, 0.766, 0.77, 0.727, 0.765, 0.771, 0.761, 0.783, 0.781, 0.762, 
0:l[784, 100]_r[784, 50]_t500:0.801, 0.651, 0.668, 0.606, 0.585, 0.599, 0.565, 0.563, 0.573, 0.555, 0.558, 0.564, 0.557, 0.555, 0.565, 0.556, 0.568, 0.585, 0.574, 0.586, 0.586, 0.571, 0.593, 0.6, 0.571, 0.591, 0.605, 0.606, 0.616, 0.629, 0.615, 
0:l[784, 250]_r[784, 50]_t500:0.828, 0.816, 0.82, 0.783, 0.752, 0.749, 0.721, 0.702, 0.711, 0.683, 0.694, 0.69, 0.662, 0.684, 0.693, 0.666, 0.704, 0.69, 0.683, 0.702, 0.702, 0.678, 0.699, 0.708, 0.696, 0.734, 0.731, 0.711, 0.734, 0.744, 0.721, 
0:l[784, 500]_r[784, 50]_t500:0.836, 0.814, 0.82, 0.791, 0.746, 0.743, 0.719, 0.708, 0.719, 0.683, 0.699, 0.694, 0.683, 0.713, 0.707, 0.675, 0.707, 0.713, 0.7, 0.726, 0.74, 0.715, 0.74, 0.747, 0.732, 0.752, 0.752, 0.75, 0.771, 0.79, 0.774, 
0:l[784, 100]_r[784, 50]_t1000:0.765, 0.537, 0.542, 0.535, 0.535, 0.537, 0.536, 0.534, 0.536, 0.54, 0.535, 0.538, 0.537, 0.541, 0.539, 0.543, 0.54, 0.542, 0.544, 0.547, 0.543, 0.549, 0.552, 0.548, 0.558, 0.566, 0.55, 0.564, 0.567, 0.561, 0.568, 
