0:[1568, 100, 100]:0.759, 0.554, 0.511, 0.616, 0.591, 0.635, 0.592, 0.618, 0.586, 0.624, 0.585, 
0:[1568, 250, 250]:0.85, 0.664, 0.61, 0.701, 0.65, 0.736, 0.673, 0.736, 0.654, 0.71, 0.648, 
0:[1568, 500, 500]:0.881, 0.701, 0.605, 0.764, 0.659, 0.795, 0.677, 0.786, 0.698, 0.786, 0.694, 
0:[1568, 100, 200]:0.832, 0.551, 0.522, 0.614, 0.557, 0.658, 0.584, 0.688, 0.606, 0.708, 0.628, 
0:[1568, 250, 500]:0.874, 0.627, 0.573, 0.739, 0.656, 0.756, 0.682, 0.761, 0.686, 0.769, 0.699, 
0:[1568, 500, 1000]:0.844, 0.617, 0.541, 0.704, 0.612, 0.729, 0.619, 0.739, 0.658, 0.744, 0.632, 
0:[1568, 200, 100]:0.849, 0.634, 0.578, 0.725, 0.657, 0.75, 0.695, 0.767, 0.701, 0.747, 0.702, 
0:[1568, 500, 250]:0.837, 0.844, 0.832, 0.869, 0.826, 0.85, 0.832, 0.847, 0.834, 0.851, 0.818, 
0:[1568, 1000, 500]:0.821, 0.836, 0.798, 0.842, 0.809, 0.846, 0.809, 0.843, 0.779, 0.841, 0.77, 
1:[1568, 100, 100]:0.805, 0.677, 0.604, 0.679, 0.626, 0.72, 0.649, 0.742, 0.686, 0.758, 0.717, 
1:[1568, 250, 250]:0.835, 0.729, 0.687, 0.805, 0.722, 0.806, 0.744, 0.83, 0.758, 0.821, 0.763, 
1:[1568, 500, 500]:0.889, 0.786, 0.682, 0.803, 0.688, 0.839, 0.697, 0.842, 0.729, 0.832, 0.719, 
1:[1568, 100, 200]:0.837, 0.569, 0.526, 0.627, 0.585, 0.714, 0.651, 0.756, 0.712, 0.789, 0.712, 
1:[1568, 250, 500]:0.878, 0.653, 0.578, 0.716, 0.632, 0.768, 0.673, 0.782, 0.685, 0.806, 0.73, 
1:[1568, 500, 1000]:0.903, 0.622, 0.537, 0.647, 0.552, 0.705, 0.599, 0.748, 0.621, 0.76, 0.648, 
1:[1568, 200, 100]:0.858, 0.755, 0.663, 0.782, 0.734, 0.814, 0.764, 0.816, 0.761, 0.808, 0.758, 
1:[1568, 500, 250]:0.744, 0.838, 0.847, 0.85, 0.828, 0.855, 0.832, 0.854, 0.839, 0.852, 0.831, 
1:[1568, 1000, 500]:0.877, 0.859, 0.783, 0.876, 0.777, 0.852, 0.788, 0.859, 0.778, 0.859, 0.771, 
2:[1568, 100, 100]:0.755, 0.72, 0.668, 0.717, 0.674, 0.752, 0.723, 0.803, 0.748, 0.796, 0.762, 
2:[1568, 250, 250]:0.865, 0.789, 0.742, 0.829, 0.752, 0.844, 0.786, 0.836, 0.779, 0.839, 0.799, 
2:[1568, 500, 500]:0.781, 0.847, 0.743, 0.832, 0.721, 0.833, 0.74, 0.856, 0.748, 0.848, 0.762, 
